Date : 2024-01-26 17:41:18
Directory : /Users/louislebras/Dropbox/STAMINA/www/donzellissr
Total : 264 files,  35258 codes, 845 comments, 4183 blanks, all 40286 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/css/products-style/main-product.css                                          | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/feed/_components-styles.css                                                  | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/feed/index.html                                                              | HTML       |      1,687 |         31 |        195 |      1,913 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/index.html                                                                   | HTML       |      1,937 |         38 |        219 |      2,194 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/burger.js                                                                 | JavaScript |         18 |          0 |          4 |         22 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/fixed-header.js                                                           | JavaScript |         29 |          1 |          5 |         35 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/js-build/burger-dist.js                                                   | JavaScript |          1 |          1 |          0 |          2 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/js-build/fixed-header-dist.js                                             | JavaScript |          1 |          1 |          0 |          2 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/open-details.js                                                           | JavaScript |         23 |          2 |          5 |         30 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/open-history.js                                                           | JavaScript |         23 |          2 |          5 |         30 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/open-verified.js                                                          | JavaScript |         23 |          2 |          5 |         30 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/product-header.js                                                         | JavaScript |         35 |         11 |         10 |         56 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/selector-product.js                                                       | JavaScript |         42 |          5 |          8 |         55 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/sidebar-filter.js                                                         | JavaScript |         20 |          0 |          4 |         24 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/swiper.js                                                                 | JavaScript |         21 |          3 |          4 |         28 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/js/whatsapp-button.js                                                        | JavaScript |         10 |          2 |          3 |         15 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/press/_components-styles.css                                                 | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/press/index.html                                                             | HTML       |      1,596 |         31 |        168 |      1,795 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/_components-styles.css                                              | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/flos/_components-styles.css                                         | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/flos/arco-lamp/_components-styles.css                               | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/flos/arco-lamp/index.html                                           | HTML       |      1,473 |         31 |        156 |      1,660 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/flos/index.html                                                     | HTML       |      1,474 |         31 |        156 |      1,661 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/flos/taccia-lamp/_components-styles.css                             | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/flos/taccia-lamp/index.html                                         | HTML       |      1,551 |         31 |        166 |      1,748 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/index.html                                                          | HTML       |      1,542 |         31 |        158 |      1,731 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/ligneroset/_components-styles.css                                   | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/ligneroset/index.html                                               | HTML       |      1,474 |         31 |        156 |      1,661 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/ligneroset/togo-sofa/_components-styles.css                         | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/ligneroset/togo-sofa/index.html                                     | HTML       |      2,013 |         39 |        245 |      2,297 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/blockchain-accordion-studiopro.svg                              | XML        |          6 |          0 |          1 |          7 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/alessi-donzelli.svg                          | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/bebitalia-donzelli.svg                       | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/cassina-donzelli.svg                         | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/ethnicraft-donzelli.svg                      | XML        |          9 |          0 |          1 |         10 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/flos-donzelli.svg                            | XML        |          6 |          0 |          1 |          7 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/gubi-donzelli.svg                            | XML        |         13 |          0 |          1 |         14 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/hermanmiller-donzelli.svg                    | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/knoll-donzelli.svg                           | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/ligneroset-donzelli.svg                      | XML        |         15 |          0 |          1 |         16 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/moooi-donzelli.svg                           | XML        |         10 |          0 |          1 |         11 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/muuto-donzelli.svg                           | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/poltrona-frau-donzelli.svg                   | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/rochebobois-donzelli.svg                     | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/vitra-donzelli.svg                           | XML        |          9 |          0 |          1 |         10 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/collabs-accordion-studiopro.svg                                 | XML        |         25 |          0 |          1 |         26 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/conciergerie-accordion-studiopro.svg                            | XML        |          6 |          0 |          1 |          7 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/inspiration-platform-accordion-studiopro.svg                    | XML        |         26 |          0 |          1 |         27 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/arrow-back-white.svg                                 | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/arrow-back.svg                                       | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/arrow-white.svg                                      | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/arrow.svg                                            | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/benefit-arrow-white.svg                              | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/blockchain-icon-studiopro-donzelli.svg               | XML        |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/collabs-partnerships-icon-studiopro-donzelli.svg     | XML        |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/conciergerie-brandgrowth-icon-studiopro-donzelli.svg | XML        |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/cross-white.svg                                      | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/feed.svg                                             | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/inspiration-platform-icon-studiopro-donzelli.svg     | XML        |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/logo-donzelli-black.svg                              | XML        |         11 |          0 |          1 |         12 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/logo-donzelli-studio-pro-white.svg                   | XML        |         23 |          0 |          1 |         24 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/logo-donzelli-white-loader.svg                       | XML        |         27 |          0 |          1 |         28 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/logo-donzelli-white.svg                              | XML        |         11 |          0 |          1 |         12 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/logo-inline-studiopro-donzelli.svg                   | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/map-offices-donzelli.svg                             | XML        |         75 |          0 |          1 |         76 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/moins-icon-grey.svg                                  | XML        |          5 |          0 |          1 |          6 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/moins-icon.svg                                       | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/plus-icon-grey.svg                                   | XML        |          6 |          0 |          1 |          7 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/plus-icon-white.svg                                  | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/plus-icon.svg                                        | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/tailormade-projects-icon-studiopro-donzelli.svg      | XML        |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/verified-icon-white.svg                              | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/whatsapp-logo-white.svg                              | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/tailormade-accordion-studiopro.svg                              | XML        |          9 |          0 |          1 |         10 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/studiopro/_components-styles.css                                             | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/studiopro/growth-services/_components-styles.css                             | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/studiopro/growth-services/index.html                                         | HTML       |      1,737 |         31 |        176 |      1,944 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/studiopro/index.html                                                         | HTML       |      2,011 |         42 |        222 |      2,275 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/burger.js                                                                      | JavaScript |         18 |          0 |          4 |         22 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/fixed-header.js                                                                | JavaScript |         29 |          1 |          5 |         35 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/js-build/burger-dist.js                                                        | JavaScript |          1 |          1 |          0 |          2 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/js-build/fixed-header-dist.js                                                  | JavaScript |          1 |          1 |          0 |          2 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/open-details.js                                                                | JavaScript |         23 |          2 |          5 |         30 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/open-history.js                                                                | JavaScript |         23 |          2 |          5 |         30 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/open-verified.js                                                               | JavaScript |         23 |          2 |          5 |         30 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/product-header.js                                                              | JavaScript |         35 |         11 |         10 |         56 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/selector-product.js                                                            | JavaScript |         42 |          5 |          8 |         55 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/sidebar-filter.js                                                              | JavaScript |         20 |          0 |          4 |         24 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/swiper.js                                                                      | JavaScript |         21 |          3 |          4 |         28 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/whatsapp-button.js                                                             | JavaScript |         10 |          2 |          3 |         15 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/footer/index.css                                                           | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/footer/index.html                                                          | HTML       |         66 |          0 |          6 |         72 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/footer/index.scss                                                          | SCSS       |        105 |          3 |         13 |        121 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-desk/_containerfeed.scss                                            | SCSS       |        267 |         13 |         43 |        323 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-desk/_inside-panel-styles.scss                                      | SCSS       |         26 |          0 |          2 |         28 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-desk/index.css                                                      | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-desk/index.html                                                     | HTML       |        702 |         11 |         67 |        780 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-desk/index.scss                                                     | SCSS       |        148 |         10 |         21 |        179 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-mobile/index.css                                                    | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-mobile/index.html                                                   | HTML       |         54 |          0 |         12 |         66 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-mobile/index.scss                                                   | SCSS       |         90 |          1 |         12 |        103 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/loader/index.css                                                           | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/loader/index.html                                                          | HTML       |          6 |          1 |          2 |          9 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/loader/index.scss                                                          | SCSS       |         80 |          5 |         13 |         98 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/noise/index.css                                                            | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/noise/index.html                                                           | HTML       |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/noise/index.scss                                                           | SCSS       |         83 |          0 |          8 |         91 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/product-table/index.css                                                    | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/product-table/index.html                                                   | HTML       |         70 |          0 |          2 |         72 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/product-table/index.scss                                                   | SCSS       |         60 |          1 |          9 |         70 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/sidebar-desk/index.css                                                     | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/sidebar-desk/index.html                                                    | HTML       |         26 |          0 |          3 |         29 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/sidebar-desk/index.scss                                                    | SCSS       |        106 |          4 |         14 |        124 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/sidebar-mobile/index.css                                                   | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/sidebar-mobile/index.html                                                  | HTML       |        591 |         20 |         60 |        671 |
